sid,family_id,class_name,y,exec_bytes,first_stop_offset,region_bytes,near_empty,whole_body,no_stop,stop_at_final_byte,feature_nnz,feature_l1,features_finite,oof_score_first_stop_full
ethereum:0x61b3017cff0e27fd69bdd5021991b5d5125f7692,F00815,benign_cleared,0,3981,83.0,84,False,False,False,False,48,169.7620391845703,True,0.00017325776570942253
ethereum:0x541ee849c2f5c764fd4f4aa8366909780a49c242,F00684,benign_cleared,0,1990,39.0,40,False,False,False,False,45,84.19444274902344,True,0.0005393403116613626
ethereum:0xa0f98bdc784f37dc5a3fe1ff218d3bcb118f2e4c,F00834,benign_cleared,0,5196,94.0,95,False,False,False,False,47,189.82923889160156,True,7.075151370372623e-05
ethereum:0x2ae6565594440d9afc123a3fbd2b6191d64ea2bb,F00799,benign_cleared,0,2064,72.0,73,False,False,False,False,78,154.1292266845703,True,5.206375863053836e-05
ethereum:0x5833ba8be0e2eed40efebe7f7af15d6c818277ce,F00985,benign_cleared,0,3119,135.0,136,False,False,False,False,76,275.7626037597656,True,0.00025983343948610127
ethereum:0x985535df69d92c73a0cc6ae575e7eba71eae937b,F00982,benign_cleared,0,7655,165.0,166,False,False,False,False,54,327.0395812988281,True,0.00016571897140238434
ethereum:0x48657b7f3f9ab4ba80fda28c118706a1db1a2e8d,F00923,benign_cleared,0,3607,370.0,371,False,False,False,False,105,560.4969482421875,True,0.00867266021668911
ethereum:0xc6ab6607228c9c40b8d3ac95f294c106affe9ea1,F00850,benign_cleared,0,1846,88.0,89,False,False,False,False,57,181.5500030517578,True,0.0006826784810982645
ethereum:0x6fb2db8da85e0c332afec905d088ef98c4f513ec,F01121,benign_cleared,0,675,65.0,66,False,False,False,False,67,140.18783569335938,True,0.00017629170906729996
ethereum:0x86cf93c8da6a2be832502215452ad2c38319a5c5,F01122,benign_cleared,0,7712,175.0,176,False,False,False,False,61,347.9688415527344,True,0.9768831729888916
ethereum:0xc86a7aefca8fc103544b9322da0bd7811dfd0843,F00075,benign_cleared,0,1561,72.0,73,False,False,False,False,79,154.1292266845703,True,0.00010813284461619332
ethereum:0xf222ece0ec880b8fbb1546ae24046fb639a17535,F00075,benign_cleared,0,1561,72.0,73,False,False,False,False,79,154.1292266845703,True,0.00010813284461619332
ethereum:0x16a6e81bc3e2a52c570b1a02601bff91c84f17f7,F00923,benign_cleared,0,3485,370.0,371,False,False,False,False,105,560.4969482421875,True,0.00867266021668911
ethereum:0x97006fd34cd93a82cc86ac1749f9f60940f0992a,F00038,benign_cleared,0,3131,166.0,167,False,False,False,False,98,345.28179931640625,True,0.00012549394159577787
ethereum:0x1c8ef3d487cf7278cb2ccfc1e339b055cd5291ea,F01062,benign_cleared,0,2197,153.0,154,False,False,False,False,92,314.3775634765625,True,0.0001279974530916661
ethereum:0xc6f42e55fbdc1d28be636c493731e5ebe8839c9d,F00984,benign_cleared,0,9751,441.0,442,False,False,False,False,106,810.6630859375,True,0.014006167650222778
ethereum:0x54bf93ee1a08af3c90c1cf9973d6e95be9ef65d7,F00799,benign_cleared,0,2064,72.0,73,False,False,False,False,78,154.1292266845703,True,5.206375863053836e-05
ethereum:0xe0332898d5d51c67b15cfd52d70f7ba433ca4ae2,F01124,benign_cleared,0,1184,141.0,142,False,False,False,False,93,244.33334350585938,True,0.0011677035363391042
ethereum:0x1bbaa650732168e74a19974e8018ea1bea424050,F01125,benign_cleared,0,336,79.0,80,False,False,False,False,48,138.73275756835938,True,0.09848974645137787
ethereum:0x24709c3494f5972963d2223b40c0363b96dd5f6e,F00717,benign_cleared,0,5859,94.0,95,False,False,False,False,47,189.82923889160156,True,0.00020320210023783147
ethereum:0xb5594799e3408aa7d578d067d8518b44c41bc3eb,F00921,benign_cleared,0,6838,176.0,177,False,False,False,False,90,353.85650634765625,True,0.0001581084361532703
