item_id,dependence_cluster_id,dependence_cluster_size,authority_address,creator_address,creator_kind,linkage_evidence
ethereum:0x854207c87328c52c8394318dd846f305b62a21f8,D0070,1,0xad0f3f4bec42cda68d2cd31301b3c3de3b0f50e2,0x354254f270957fda9b531a48c903342596900da0,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x89e5e2302a6067775ca34288846f5059bae901be,D0071,2,0x89e5e2302a6067775ca34288846f5059bae901be,,UNKNOWN,SHARED_AUTHORITY_EOA
ethereum:0x8a7730985a207003f709c0f95ad497650f955394,D0072,1,0xd1b6ee2790d4607471ac8c016868429243d52067,0xd1b6ee2790d4607471ac8c016868429243d52067,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x95994d72f64f37ff5e38aa922ecdc0c3dc0eded5,D0073,1,0x6be76efff39b2104a9e212dca431d0b807c6ad45,0xa1da072ac08df7697b54718c1511f92438a17a3b,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x98172af7d022609761a1038cb9c18a771455a438,D0074,1,0x645f7344325646ebdbb6f954496016de1d9cd1a7,0x71fc4e810f0e4f37cdbdbe2ac24979622979a707,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x99c0b9dd3ead519927e29af2c2a39ae43dfb9dce,D0044,2,0x0cc89544042aa792e50c4f24660828627762ecfe,0x1c83e9a7b032f703c629b0006c40290ddc68bd1f,EOA,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA
ethereum:0x9ab74b7d7c5f295b0ababa67df085891d1521fb0,D0075,3,0x855f9e0ec951f602f998c7b3d416ea08e430b0c7,0x25559a1235637ea303b08aa937a86de8b928b547,EOA,SHARED_DEPLOYER_EOA
ethereum:0x9c9d586c9427e0ffa4540708ff9394db16e37887,D0076,2,0x0e8a2a225eb3e082cd5dee44e35048cce5fe5778,0x93f11b5d00cac1bf3263944b87b53e0418a45e3d,CONTRACT,SHARED_AUTHORITY_EOA
ethereum:0x9cb23867ca3ce6dafd9fac17a14e3879b17cc2de,D0039,4,0x4ec254f9862e84f8788407a4fe7a524055736028,0xbd43bd6b25e80310869a56d4e395026b8256dd2a,EOA,SHARED_DEPLOYER_EOA
ethereum:0x9d81bcc24abffd5f0edd713bc9d00a38a3a991c3,D0077,1,0x2fbeb4111c3f176a08dbd913990bf6e4105a6a7a,0x26266930b96b48e77e6a5d2e6ab0632c93da7ed6,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x9ea0779ffe9c4965a9209c46c469a8be4db44797,D0019,4,0x4de23f3f0fb3318287378adbde030cf61714b2f3,0x34f41c98898ed0c2f7d004538a7cbde33b35404f,EOA,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA
