model,sample_id,clean_token_count,flood200_token_count,budget,exceeds_budget
flat_cnn_2048,base:0xdbf4e4c491d5250773ebee412a4bf7e440291d30,1855,5283,2048,True
flat_cnn_2048,base:0x05465f4b14f875eff9a3b4f22b9c8165e1334369,5869,17973,2048,True
flat_cnn_2048,base:0x8032605c138383cb8a373b2a0f839ed0b6cf872c,1728,4576,2048,True
flat_cnn_2048,base:0x1532618433ac9c0e083e45bf12b83205e7fb7ab7,4887,15216,2048,True
flat_cnn_2048,base:0x68982889c653115d2b03813aead2b79153309bd9,246,608,2048,False
flat_cnn_2048,base:0xf5acbb1699fbe5a78b997feabf414fe0728372e8,4896,14373,2048,True
flat_cnn_2048,base:0x4c9f23881b2730f687e2e227ebbd35654aa84f53,1057,3122,2048,True
flat_cnn_2048,base:0x948045192a5eb395f7d68af6841eb86dc350e21a,1650,4596,2048,True
flat_cnn_2048,base:0x2f6a434e50b209330ea59df82772ab9adfdded6c,2018,5113,2048,True
flat_cnn_2048,base:0x46bc1bfddd0aedbd47184d512bdf6f20a6d2694e,1656,4467,2048,True
flat_cnn_2048,base:0x62e954d89e8c409072518defea9df0d60c0ecef0,1204,3460,2048,True
flat_cnn_2048,base:0xfb15f31b205317c6947a38a8f361ea6772ed3e89,103,396,2048,False
flat_cnn_2048,base:0x2122657710ac1f74fe4f9cc5e8013fae49af5883,1515,4093,2048,True
flat_cnn_2048,base:0xa8c28707258b64497d960887329f489a1d07beb8,1547,4059,2048,True
flat_cnn_2048,base:0xda35ba26639fa8b0824161a0f948bfb90cdb089a,2120,6536,2048,True
flat_cnn_2048,base:0xe2c79b455bbed78475e6a40f486f0899828bb5ce,807,2407,2048,True
flat_cnn_2048,base:0x231d759614d80bcf0ae4278156fec576de8009ff,1934,4706,2048,True
flat_cnn_2048,base:0x0cdd9b042bd25308dd13794c94fb2bfa377825a9,2839,9131,2048,True
flat_cnn_2048,base:0x042bae6a9385cee3ecce68347eb4f97d90649d2d,5845,16159,2048,True
flat_cnn_2048,base:0x2e8bf58e618447d90f4e19ff6491e85fda84472d,1937,6227,2048,True
flat_cnn_2048,base:0xe6cae83bde06e4c305530e199d7217f42808555b,1467,5946,2048,True
flat_cnn_2048,base:0x0f66bffe7a8d7557206d48dd045c2806ddcfb837,1002,2928,2048,True
flat_cnn_2048,base:0x6222e821326a2b017843eca455ea44a7655c9ce4,1934,4992,2048,True
flat_cnn_2048,base:0x96e9ded822ffd4c65d8e09340ee95d2dc8fa209f,246,796,2048,False
flat_cnn_2048,base:0xa8cc84dcf59da91704bc4eafc9a56bea17c50a49,5592,15270,2048,True
