task,model,seed,fold,threshold,splitter,split
primary,authguard,7706,3,0.1002551019191742,StratifiedGroupKFold,random
primary,authguard,7706,4,0.3359326124191284,StratifiedGroupKFold,random
secondary,opcode_rf,7702,0,0.30333333333333334,StratifiedGroupKFold,family
secondary,opcode_rf,7702,1,0.2719444444444445,StratifiedGroupKFold,family
secondary,opcode_rf,7702,2,0.30333333333333334,StratifiedGroupKFold,family
secondary,opcode_rf,7702,3,0.25666666666666665,StratifiedGroupKFold,family
secondary,opcode_rf,7702,4,0.34458333333333335,StratifiedGroupKFold,family
secondary,opcode_rf,7703,0,0.31,StratifiedGroupKFold,family
secondary,opcode_rf,7703,1,0.31666666666666665,StratifiedGroupKFold,family
secondary,opcode_rf,7703,2,0.20333333333333334,StratifiedGroupKFold,family
secondary,opcode_rf,7703,3,0.29,StratifiedGroupKFold,family
secondary,opcode_rf,7703,4,0.31974358974358974,StratifiedGroupKFold,family
secondary,opcode_rf,7704,0,0.3333333333333333,StratifiedGroupKFold,family
secondary,opcode_rf,7704,1,0.29933333333333334,StratifiedGroupKFold,family
secondary,opcode_rf,7704,2,0.20266666666666666,StratifiedGroupKFold,family
secondary,opcode_rf,7704,3,0.25666666666666665,StratifiedGroupKFold,family
secondary,opcode_rf,7704,4,0.23666666666666666,StratifiedGroupKFold,family
secondary,opcode_rf,7705,0,0.2786111111111111,StratifiedGroupKFold,family
secondary,opcode_rf,7705,1,0.25,StratifiedGroupKFold,family
secondary,opcode_rf,7705,2,0.20194444444444443,StratifiedGroupKFold,family
secondary,opcode_rf,7705,3,0.21259259259259258,StratifiedGroupKFold,family
secondary,opcode_rf,7705,4,0.23,StratifiedGroupKFold,family
secondary,opcode_rf,7706,0,0.3,StratifiedGroupKFold,family
secondary,opcode_rf,7706,1,0.3094444444444444,StratifiedGroupKFold,family
secondary,opcode_rf,7706,2,0.23,StratifiedGroupKFold,family
secondary,opcode_rf,7706,3,0.24666666666666667,StratifiedGroupKFold,family
secondary,opcode_rf,7706,4,0.3263888888888889,StratifiedGroupKFold,family
secondary,opcode_xgb,7702,0,0.5215698480606079,StratifiedGroupKFold,family
secondary,opcode_xgb,7702,1,0.21645624935626984,StratifiedGroupKFold,family
secondary,opcode_xgb,7702,2,0.14411640167236328,StratifiedGroupKFold,family
secondary,opcode_xgb,7702,3,0.2062172144651413,StratifiedGroupKFold,family
secondary,opcode_xgb,7702,4,0.04878508299589157,StratifiedGroupKFold,family
secondary,opcode_xgb,7703,0,0.20979899168014526,StratifiedGroupKFold,family
secondary,opcode_xgb,7703,1,0.19171005487442017,StratifiedGroupKFold,family
secondary,opcode_xgb,7703,2,0.16027553379535675,StratifiedGroupKFold,family
secondary,opcode_xgb,7703,3,0.11845936626195908,StratifiedGroupKFold,family
secondary,opcode_xgb,7703,4,0.09316841512918472,StratifiedGroupKFold,family
secondary,opcode_xgb,7704,0,0.11427605152130127,StratifiedGroupKFold,family
secondary,opcode_xgb,7704,1,0.19121989607810974,StratifiedGroupKFold,family
secondary,opcode_xgb,7704,2,0.04523086175322533,StratifiedGroupKFold,family
secondary,opcode_xgb,7704,3,0.16566970944404602,StratifiedGroupKFold,family
secondary,opcode_xgb,7704,4,0.20760519802570343,StratifiedGroupKFold,family
secondary,opcode_xgb,7705,0,0.1378091722726822,StratifiedGroupKFold,family
