model,seed,fold,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
dense_only,7702,3,3.3749752044677734,0.8405778568029424,0.8546945143334437,0.8151293422765895,0.7620952021803358,0.6088020632085682,0.8531377194581131,0.13689201399890158,0.13978494623655913,0.011299435028248588,0.3333333333333333,0.04519774011299435,0.5591397849462365,0.07909604519774012
ngram_only,7702,3,2.666398048400879,0.9225378184213601,0.8911172194694094,0.7829125595185047,0.519659708477605,0.8216673310619927,0.9543466375068343,0.08148089133567095,0.25806451612903225,0.011299435028248588,0.6666666666666666,0.03389830508474576,0.946236559139785,0.1327683615819209
flat_cnn,7702,3,2.3249757289886475,0.9447484009499885,0.8364490812722652,0.6463497681461416,0.5487175978111987,0.8450648197853731,0.9494562906263289,0.07322207340454827,0.41935483870967744,0.014124293785310734,0.6774193548387096,0.0480225988700565,0.7311827956989247,0.05084745762711865
bigru,7702,3,2.9801158905029297,0.7695919915767029,0.7791607933357888,0.6303093647322844,0.5082633203417204,0.6902995394050605,0.9267662960937975,0.09674324287117755,0.23655913978494625,0.01694915254237288,0.40860215053763443,0.031073446327683617,0.6129032258064516,0.05084745762711865
transformer,7702,3,3.7147128582000732,0.7517394925645705,0.6813314782000836,0.6579930948070367,0.6479741748919714,0.2987088193890758,0.6532713686896301,0.2778466491103664,0.021505376344086023,0.011299435028248588,0.12903225806451613,0.09322033898305085,0.21505376344086022,0.09887005649717515
authguard_seq,7702,3,1.4455090761184692,0.9700092986593504,0.9709437708076291,0.9026250040847973,0.6499811686262096,0.933868565334826,0.9787983719093616,0.11529954725501565,0.3548387096774194,0.0,0.7741935483870968,0.0423728813559322,0.978494623655914,0.16666666666666666
hist_ngram_xgb,7702,4,3.458652973175049,,0.5732812555809721,0.31144241781093607,0.2708837415630493,0.8870682041016738,0.9321618767274117,0.13591503982904082,0.5497382198952879,0.017167381974248927,0.8795811518324608,0.15021459227467812,0.8795811518324608,0.1759656652360515
dense_only,7702,4,5.577650547027588,0.5357685146002231,0.7268156661040684,0.7047504159124851,0.6374106711563469,0.7572431487950652,0.777273442239849,0.20157477284782416,0.16230366492146597,0.004291845493562232,0.32460732984293195,0.04291845493562232,0.4816753926701571,0.12017167381974249
ngram_only,7702,4,3.6064348220825195,0.6440133460316974,0.7389925614600974,0.5868991928759174,0.46315548601584633,0.8657140398167069,0.924634294317237,0.13495104966977906,0.16753926701570682,0.017167381974248927,0.675392670157068,0.11587982832618025,0.806282722513089,0.12017167381974249
flat_cnn,7702,4,2.223781108856201,0.8361568532847816,0.8304369688882329,0.7138020089344489,0.6021736011784573,0.9293264439664218,0.9574523065860728,0.09210981953287961,0.643979057591623,0.008583690987124463,0.8272251308900523,0.07725321888412018,0.8952879581151832,0.11587982832618025
bigru,7702,4,0.7093265652656555,0.5174114463061431,0.6739923227610924,0.5881304978444243,0.5538254115321308,0.6583635617166383,0.7403321124418578,0.20347671639728185,0.010471204188481676,0.004291845493562232,0.2094240837696335,0.055793991416309016,0.2617801047120419,0.11158798283261803
transformer,7702,4,2.3131518363952637,0.5820490695438882,0.8083768956420974,0.7348005293261453,0.6704757883888096,0.600682379793149,0.7080870952520054,0.2212135082967192,0.015706806282722512,0.012875536480686695,0.10471204188481675,0.06437768240343347,0.21465968586387435,0.15021459227467812
authguard_seq,7702,4,2.320378541946411,0.8709766305496203,0.886589726311204,0.5002514573783041,0.25985172512555,0.948543037596338,0.9715974203986247,0.060597420861638766,0.8638743455497382,0.034334763948497854,0.9738219895287958,0.0815450643776824,0.9895287958115183,0.21030042918454936
hist_ngram_xgb,7703,0,2.6167943477630615,,0.7623238445186705,0.625774562839952,0.4210151831795981,0.7701551338438071,0.8349109380594344,0.16046203361952407,0.28289473684210525,0.006802721088435374,0.3684210526315789,0.006802721088435374,0.4868421052631579,0.047619047619047616
dense_only,7703,0,3.139085054397583,0.6402213293964144,0.8305749209073449,0.6825539940428174,0.49379642362038345,0.6449627384191636,0.7817423021840315,0.19722133613815288,0.02631578947368421,0.0,0.2236842105263158,0.027210884353741496,0.27631578947368424,0.061224489795918366
ngram_only,7703,0,3.39491868019104,0.8012751524350714,0.8681626030590053,0.7990452806090276,0.5812781609487292,0.6342494586223136,0.601313551736484,0.19120660084238508,0.19736842105263158,0.006802721088435374,0.375,0.027210884353741496,0.4276315789473684,0.061224489795918366
flat_cnn,7703,0,1.676348090171814,0.8832793950232302,0.6826871775754251,0.4639879143303598,0.40007171580417994,0.7438576638251273,0.825064894378804,0.18810043331717483,0.28289473684210525,0.017006802721088437,0.4473684210526316,0.04081632653061224,0.47368421052631576,0.0782312925170068
bigru,7703,0,5.206352233886719,0.5860946233042553,0.7177248060671708,0.6308075763431311,0.540668548111394,0.5094957798665306,0.6367704976727534,0.2195330007373415,0.08552631578947369,0.02040816326530612,0.13815789473684212,0.030612244897959183,0.19736842105263158,0.05442176870748299
transformer,7703,0,1.9156442880630493,0.6094120394350195,0.7117384292882637,0.5643398651142393,0.4945192207059342,0.6849117636254678,0.8301221804511278,0.16691876426582047,0.07236842105263158,0.02040816326530612,0.6447368421052632,0.14285714285714285,0.7697368421052632,0.23469387755102042
authguard_seq,7703,0,1.898837924003601,0.9643541793637936,0.9482716722808117,0.7565407720796614,0.2272576520180793,0.791539106600391,0.8666196741854637,0.16340174843743624,0.46710526315789475,0.013605442176870748,0.5592105263157895,0.047619047619047616,0.5921052631578947,0.07482993197278912
hist_ngram_xgb,7703,1,1.6590265035629272,,0.834332650291136,0.26327758965700887,0.18876337461663295,0.8592001815721895,0.9168264840182649,0.11238579095594119,0.410958904109589,0.02,0.7945205479452054,0.15,0.8698630136986302,0.15666666666666668
dense_only,7703,1,2.533794403076172,0.8236856157466814,0.9069833728769225,0.8387939834493366,0.745045621861984,0.5990324986639843,0.7837442922374429,0.18584617729891637,0.03424657534246575,0.01,0.23972602739726026,0.08666666666666667,0.4657534246575342,0.12333333333333334
ngram_only,7703,1,1.4418745040893555,0.9170899726043311,0.9685100223924444,0.8089125390529168,0.5955765720051289,0.7611759643296947,0.8768264840182648,0.15834782644433945,0.07534246575342465,0.016666666666666666,0.6438356164383562,0.11666666666666667,0.7808219178082192,0.21
flat_cnn,7703,1,1.636112093925476,0.9497875479449069,0.7564721960506979,0.21165758011652402,0.1532416745732375,0.9056158451464674,0.9388812785388128,0.08526664342058084,0.5273972602739726,0.016666666666666666,0.8698630136986302,0.09333333333333334,0.8972602739726028,0.18
bigru,7703,1,3.1843526363372803,0.8587074565686732,0.8271872258866771,0.5471305593713262,0.39367644850956934,0.7868570865385487,0.9009360730593607,0.12014532897077045,0.2191780821917808,0.016666666666666666,0.541095890410959,0.056666666666666664,0.7876712328767124,0.11
