model,seed,fold,condition,length_stratum,n,positives,AUPRC,AUROC
chunk_mean_control_16384,7704,1,M0,source_gt_2048,161,47,0.9696816385140477,0.990481522956327
chunk_mean_control_16384,7704,1,M0,source_le_2048,285,99,0.874896600011112,0.9318453350711415
chunk_mean_control_16384,7704,2,F200,source_gt_2048,184,80,0.735901566950677,0.8080528846153846
chunk_mean_control_16384,7704,2,F200,source_le_2048,243,65,0.7634939385960061,0.8850475367329301
chunk_mean_control_16384,7704,2,M0,source_gt_2048,184,80,0.8817634254213974,0.9342548076923077
chunk_mean_control_16384,7704,2,M0,source_le_2048,243,65,0.9348067096532755,0.9560069144338808
chunk_mean_control_16384,7704,3,F200,source_gt_2048,139,32,0.7831213418717867,0.922605140186916
chunk_mean_control_16384,7704,3,F200,source_le_2048,308,61,0.7655050077223695,0.9242052166987456
chunk_mean_control_16384,7704,3,M0,source_gt_2048,139,32,0.8942537399495791,0.9699182242990654
chunk_mean_control_16384,7704,3,M0,source_le_2048,308,61,0.9760792394977271,0.9946240127430809
chunk_mean_control_16384,7704,4,F200,source_gt_2048,131,36,0.5577766511260962,0.737719298245614
chunk_mean_control_16384,7704,4,F200,source_le_2048,293,155,0.8141839894706251,0.8301075268817204
chunk_mean_control_16384,7704,4,M0,source_gt_2048,131,36,0.8260672318707524,0.9301169590643275
chunk_mean_control_16384,7704,4,M0,source_le_2048,293,155,0.9253193213740826,0.9326554464703132
flat_control_16384,7702,0,F200,source_gt_2048,97,20,0.8220855244077507,0.9259740259740259
flat_control_16384,7702,0,F200,source_le_2048,349,132,0.8491311469434546,0.8637410976120654
flat_control_16384,7702,0,M0,source_gt_2048,97,20,0.8578040924260975,0.9733766233766235
flat_control_16384,7702,0,M0,source_le_2048,349,132,0.9316479622986219,0.961021505376344
flat_control_16384,7702,1,F200,source_gt_2048,161,47,0.9031464815156038,0.950354609929078
flat_control_16384,7702,1,F200,source_le_2048,285,99,0.8946473830919723,0.9406429890300858
flat_control_16384,7702,1,M0,source_gt_2048,161,47,0.9601366171540417,0.9869354236655468
flat_control_16384,7702,1,M0,source_le_2048,285,99,0.8879210980285656,0.9520202020202021
flat_control_16384,7702,2,F200,source_gt_2048,184,80,0.7756341997470235,0.7712740384615384
flat_control_16384,7702,2,F200,source_le_2048,243,65,0.8599633272711237,0.9231633535004321
flat_control_16384,7702,2,M0,source_gt_2048,184,80,0.9559926652868282,0.9754807692307692
flat_control_16384,7702,2,M0,source_le_2048,243,65,0.9652003233473356,0.9837510803802939
flat_control_16384,7702,3,F200,source_gt_2048,139,32,0.7214357032611846,0.8814252336448598
flat_control_16384,7702,3,F200,source_le_2048,308,61,0.7765434316937176,0.887104267604699
flat_control_16384,7702,3,M0,source_gt_2048,139,32,0.958852848805646,0.9921144859813085
flat_control_16384,7702,3,M0,source_le_2048,308,61,0.9742021251102385,0.9906417999601779
flat_control_16384,7702,4,F200,source_gt_2048,131,36,0.6244777181865171,0.8087719298245614
flat_control_16384,7702,4,F200,source_le_2048,293,155,0.9228963780321455,0.9173445535296868
flat_control_16384,7702,4,M0,source_gt_2048,131,36,0.887602841855704,0.9771929824561404
flat_control_16384,7702,4,M0,source_le_2048,293,155,0.9707690965738974,0.9778401122019637
flat_control_16384,7703,0,F200,source_gt_2048,97,20,0.5566014622823099,0.8681818181818182
flat_control_16384,7703,0,F200,source_le_2048,349,132,0.7779139293137568,0.7660592096075967
flat_control_16384,7703,0,M0,source_gt_2048,97,20,0.7742622116016079,0.9655844155844155
flat_control_16384,7703,0,M0,source_le_2048,349,132,0.9776685523324747,0.9853896103896103
flat_control_16384,7703,1,F200,source_gt_2048,161,47,0.7537884251510729,0.8404255319148937
flat_control_16384,7703,1,F200,source_le_2048,285,99,0.8485655131735979,0.9058868252416639
flat_control_16384,7703,1,M0,source_gt_2048,161,47,0.9668039970923276,0.9893617021276595
flat_control_16384,7703,1,M0,source_le_2048,285,99,0.9244300493893638,0.9659226675355708
flat_control_16384,7703,2,F200,source_gt_2048,184,80,0.674965441639966,0.704326923076923
flat_control_16384,7703,2,F200,source_le_2048,243,65,0.8147382069611042,0.8883318928262749
flat_control_16384,7703,2,M0,source_gt_2048,184,80,0.9465731051425009,0.9768028846153847
