fold,seed,model,condition,AUPRC,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
3,7703,clean,cleanM0,0.7398156632830399,0.043010752688172046,0.0,0.5698924731182796,0.09239130434782608,0.6021505376344086,0.11684782608695653
3,7703,clean,F200,0.47487820001520353,0.0,0.0,0.08602150537634409,0.01358695652173913,0.15053763440860216,0.024456521739130436
3,7703,clean,M3F200,0.4279333898400561,0.0,0.0,0.053763440860215055,0.02717391304347826,0.10752688172043011,0.04076086956521739
3,7703,clean,adaptive_transfer,0.24918062745947134,0.0,0.0,0.03225806451612903,0.09239130434782608,0.03225806451612903,0.11684782608695653
3,7703,ordinary_aug,cleanM0,0.7545979608243936,0.1935483870967742,0.01358695652173913,0.3763440860215054,0.03260869565217391,0.5913978494623656,0.04619565217391304
3,7703,ordinary_aug,F200,0.46764192995014353,0.6236559139784946,0.23369565217391305,0.7741935483870968,0.3967391304347826,0.9032258064516129,0.6114130434782609
3,7703,ordinary_aug,M3F200,0.41062935938120115,0.5913978494623656,0.2907608695652174,0.7741935483870968,0.483695652173913,0.946236559139785,0.6711956521739131
3,7703,ordinary_aug,adaptive_transfer,0.7823604015450841,0.23655913978494625,0.01358695652173913,0.41935483870967744,0.03260869565217391,0.6989247311827957,0.04619565217391304
3,7703,source_balanced_aug,cleanM0,0.8979973359706976,0.1827956989247312,0.002717391304347826,0.8709677419354839,0.029891304347826088,0.9247311827956989,0.12771739130434784
3,7703,source_balanced_aug,F200,0.6663301346162017,0.043010752688172046,0.0,0.3548387096774194,0.02717391304347826,0.5161290322580645,0.06793478260869565
3,7703,source_balanced_aug,M3F200,0.5574417364808351,0.0,0.0,0.27956989247311825,0.035326086956521736,0.45161290322580644,0.07608695652173914
3,7703,source_balanced_aug,adaptive_transfer,0.5099743660168458,0.0,0.002717391304347826,0.23655913978494625,0.029891304347826088,0.40860215053763443,0.12771739130434784
3,7703,tc_hard,cleanM0,0.795669157972161,0.1935483870967742,0.005434782608695652,0.4946236559139785,0.02717391304347826,0.6666666666666666,0.11413043478260869
3,7703,tc_hard,F200,0.504900437825436,0.021505376344086023,0.005434782608695652,0.46236559139784944,0.08695652173913043,0.6236559139784946,0.17119565217391305
3,7703,tc_hard,M3F200,0.45545233478049907,0.021505376344086023,0.0,0.27956989247311825,0.09239130434782608,0.5591397849462365,0.1766304347826087
3,7703,tc_hard,adaptive_transfer,0.7104865750854022,0.07526881720430108,0.005434782608695652,0.3655913978494624,0.02717391304347826,0.6129032258064516,0.11413043478260869
3,7704,clean,cleanM0,0.8013651697376264,0.11827956989247312,0.002717391304347826,0.5483870967741935,0.021739130434782608,0.7311827956989247,0.029891304347826088
