original_index,chain,address,class,family_id,designator_target_address,row_represents,target_runtime_in_repository,repository_target_row_count,repository_runtime_row_count,target_runtime_appears_elsewhere_in_dataset,target_runtime_elsewhere_row_count,target_runtime_elsewhere_families,read_only_rpc_status,read_only_rpc_kind,runtime_recovery_source,recovered_runtime_sha256,recovered_runtime_bytes,task_alignment_decision
2995,bnb,0xdf095140774df0fcd56d85b525b098603c1c813d,benign_cleared,F01247,0xdf095140774df0fcd56d85b525b098603c1c813d,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3003,bnb,0xfec2bd6e8e4620bb9b2314b03a755b5348319ef3,benign_cleared,F01250,0xfec2bd6e8e4620bb9b2314b03a755b5348319ef3,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3008,bnb,0x448607a969fe17338876ceafdf2ead524a1fb544,benign_cleared,F01252,0x448607a969fe17338876ceafdf2ead524a1fb544,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3022,bnb,0xed781d656302f25f1a5d006f4ab2f0c946f8d20f,benign_cleared,F01256,0xed781d656302f25f1a5d006f4ab2f0c946f8d20f,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3025,bnb,0x150cc545ece937886336896e6b0cae69941ed051,benign_cleared,F01257,0x150cc545ece937886336896e6b0cae69941ed051,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3026,bnb,0xb3cd6ade314fa737214c92cb8a09d196dd813200,benign_cleared,F01258,0xb3cd6ade314fa737214c92cb8a09d196dd813200,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3044,bnb,0x77d57b203f56dde2cccceb50a290dbd6403ba10a,benign_cleared,F00868,0x77d57b203f56dde2cccceb50a290dbd6403ba10a,delegating_account_self_target,False,1,0,False,0,,ok,empty,none,,0,exclude_unresolved_no_verified_runtime
3067,bnb,0x575a8d950461fceafd601581371c06a0fa514e66,benign_cleared,F01270,0x4e77fa86f33507d69bd3427db74c417acc7c5a40,delegating_account,False,0,0,False,0,,ok,runtime,read_only_rpc_target_runtime,d536c3fb663233eac98de2a32c50e6675ee5aba005b9fdd5ec32d225fc16002c,3229,replace_and_retain_candidate
3074,bnb,0xf27d9b4c6d241cb791b0207f4627ed3abbf30f4d,benign_cleared,F01273,0xf27d9b4c6d241cb791b0207f4627ed3abbf30f4d,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3078,bnb,0x0da0e2908d0b183d2fd494d668ddb5c02410d54d,benign_cleared,F01275,0x0da0e2908d0b183d2fd494d668ddb5c02410d54d,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3093,bnb,0xf98735bb65fac8e7739d36c99a5a3fe1195d63a0,benign_cleared,F01284,0xf98735bb65fac8e7739d36c99a5a3fe1195d63a0,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3098,bnb,0x53c218ee4b05f817fab41afd2c66fd92550a8888,benign_cleared,F01286,0xc49a93dcd6ca9dc4e67bad59db707e7836ad7fe1,delegating_account,False,0,0,False,0,,ok,runtime,read_only_rpc_target_runtime,f95f1c766ab8a940538603d3fc09a70bfa34433f919d9ae1e3adcf73a98ef918,16111,replace_and_retain_candidate
3108,bnb,0x2088ebd999bae859c378500091e9a720e16832cf,benign_cleared,F01288,0x2088ebd999bae859c378500091e9a720e16832cf,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3134,bnb,0x96246940835d28da222c4083339f80694a5f7336,benign_cleared,F01292,0x96246940835d28da222c4083339f80694a5f7336,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3144,bnb,0x60141efba38f796d515bebe1b5c52eb9cfa2721e,benign_cleared,F01296,0x60141efba38f796d515bebe1b5c52eb9cfa2721e,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3149,bnb,0xb1e93c8ca941bf3045dc2092a48dfe466c454a30,benign_cleared,F01299,0xb1e93c8ca941bf3045dc2092a48dfe466c454a30,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3152,bnb,0x0005c72f77f1e9213d756fb7ac07da33ec9b065b,benign_cleared,F01301,0x0005c72f77f1e9213d756fb7ac07da33ec9b065b,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3156,bnb,0x8b15e3004f218f2b6422494b2eb1a8e2624efffb,benign_cleared,F01303,0x8b15e3004f218f2b6422494b2eb1a8e2624efffb,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3158,bnb,0x6e5ca59d8af27dcaf1fc610c5b4bd76b45e182f3,benign_cleared,F01305,0x6e5ca59d8af27dcaf1fc610c5b4bd76b45e182f3,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
3159,bnb,0x017d90434f57f53fe62af7d22b7191e0f4f9d3d9,benign_cleared,F01306,0x017d90434f57f53fe62af7d22b7191e0f4f9d3d9,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
