model,seed,fold,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
ngram_only,7704,2,2.1632323265075684,0.8177469130467493,0.932314683796682,0.5541594355897359,0.4603683053581694,0.8635561454004752,0.9503301540719,0.0673311944760384,0.1379310344827586,0.0070921985815602,0.9103448275862068,0.0567375886524822,0.9103448275862068,0.0567375886524822
flat_cnn,7704,2,1.4896453619003296,0.9354225415216196,0.9614128461566608,0.761712117166335,0.3420512312807086,0.9343759994184052,0.964954756664221,0.0698584300199264,0.593103448275862,0.0177304964539007,0.896551724137931,0.0638297872340425,0.9448275862068966,0.1276595744680851
bigru,7704,2,1.27339768409729,0.9315889497917288,0.8997298615054571,0.3829460397297086,0.1091225009951025,0.86973489721834,0.924455857177794,0.1039765759807359,0.6137931034482759,0.0602836879432624,0.8344827586206897,0.0992907801418439,0.9103448275862068,0.1595744680851064
transformer,7704,2,2.8138647079467773,0.6499005301113572,0.8837325179141626,0.6249810691685207,0.434436828511097,0.4601884718235056,0.650354609929078,0.2520654578881711,0.0344827586206896,0.0177304964539007,0.1586206896551724,0.0886524822695035,0.2896551724137931,0.1524822695035461
authguard_seq,7704,2,0.9788439869880676,0.9957193522424782,0.2989850354594506,0.017397521504017,0.0121288313925258,0.9196881342320966,0.9663731963805332,0.0838152118897594,0.8068965517241379,0.0496453900709219,0.9103448275862068,0.1241134751773049,0.9724137931034482,0.1312056737588652
hist_ngram_xgb,7704,3,2.3831911087036133,,0.8945402542198537,0.5989471410711756,0.3837016939129283,0.8135102417679559,0.9389769758823888,0.0857895504801381,0.021505376344086,0.0,0.4623655913978494,0.0141242937853107,0.7849462365591398,0.1412429378531073
dense_only,7704,3,2.477791786193848,0.869076087243413,0.8994962688026984,0.8242276749275336,0.6919505767384957,0.6471271537364931,0.8755543405625418,0.1053637080666488,0.0967741935483871,0.0028248587570621,0.1935483870967742,0.0282485875706214,0.4301075268817204,0.0480225988700565
ngram_only,7704,3,3.263177394866944,0.9102834458228064,0.8747622517835298,0.7769734645536617,0.4966765356642709,0.8529878281593336,0.9643703298706032,0.058384393033475,0.1612903225806451,0.0028248587570621,0.6129032258064516,0.0282485875706214,0.913978494623656,0.0564971751412429
flat_cnn,7704,3,2.394096612930298,0.9403472082534308,0.7263168745329354,0.4573227983951803,0.2444155317620887,0.8828605799644785,0.9567766235344148,0.0709450271788376,0.3118279569892473,0.0028248587570621,0.6129032258064516,0.0112994350282485,0.8172043010752689,0.0677966101694915
bigru,7704,3,0.9162652492523192,0.5959730351757766,0.7519763064999918,0.7280772833977043,0.7041506646563818,0.4092923623418004,0.7272948180547961,0.2575288570756798,0.0,0.0084745762711864,0.053763440860215,0.0254237288135593,0.2688172043010752,0.0649717514124293
transformer,7704,3,2.293858528137207,0.769148499382407,0.8881671499282594,0.7858362903915522,0.7093300992879302,0.4872171082432044,0.7376830083227022,0.1944645281501954,0.032258064516129,0.0,0.2473118279569892,0.0367231638418079,0.4516129032258064,0.0847457627118644
authguard_seq,7704,3,2.359729528427124,0.9873767831448226,0.9431943412292754,0.799622314343531,0.040980096622666,0.9806296544114804,0.9940769090577728,0.0190664277587709,0.6451612903225806,0.0028248587570621,0.7849462365591398,0.0028248587570621,0.978494623655914,0.1016949152542373
hist_ngram_xgb,7704,4,3.5843870639801025,,0.6067135912632604,0.3472127296380336,0.2914765531868558,0.8809212074711722,0.9351729096914816,0.1422799059180577,0.3926701570680628,0.0171673819742489,0.8638743455497382,0.1416309012875536,0.8743455497382199,0.1759656652360515
dense_only,7704,4,5.990685939788818,0.5783914672291289,0.7338167455719261,0.6910802064145898,0.6196925373361274,0.8367030989423507,0.8616497764195672,0.1660994471507304,0.256544502617801,0.0214592274678111,0.4712041884816754,0.0729613733905579,0.6492146596858639,0.1201716738197424
ngram_only,7704,4,5.905184745788574,0.797534174943962,0.7926972301266957,0.2757072975514684,0.2024035184242757,0.8673787455696449,0.8562793519538008,0.1392125377905738,0.1465968586387434,0.0128755364806866,0.7905759162303665,0.0643776824034334,0.8324607329842932,0.1759656652360515
flat_cnn,7704,4,4.226191997528076,0.80993651216524,0.6108526975189043,0.4778282843169156,0.4291822984433036,0.9246384037680068,0.9488124396108129,0.1183909418826428,0.7225130890052356,0.0515021459227467,0.8219895287958116,0.0858369098712446,0.8900523560209425,0.111587982832618
