0x11b5V0x3ff	0x606bB0x3ff
0x11f3V0x3ff	0x60b7B0x3ff
0x1212V0x3ff	0x6103B0x3ff
0x126eV0x3ff	0x1277B0x3ff
0x1286V0x3ff	0x614fB0x3ff
0x12a0V0x3ff	0x619bB0x3ff
0x12c7V0x3ff	0x61e7B0x3ff
0x1327V0x3ff	0x6233B0x3ff
0x1341V0x3ff	0x627fB0x3ff
0x1366V0x3ff	0x62cbB0x3ff
0x1381V0x3ff	0x6317B0x3ff
0x13bbV0x3ff	0x6363B0x3ff
0x1416V0x3ff	0x63afB0x3ff
0xec9V0x3ff	0xed0B0x3ff
0xed1V0x3ff	0xed8B0x3ff
0xee2V0x3ff	0xf20B0x3ff
0xf2aV0x3ff	0xf68B0x3ff
0xf71V0x3ff	0xfafB0x3ff
0xfc0V0x3ff	0xfccB0x3ff
0xfe2V0x3ff	0xffaB0x3ff
0x100eV0x3ff	0x101aB0x3ff
0x1030V0x3ff	0x104dB0x3ff
0x1047V0x3ff	0x1038B0x3ff
0x1436V0x3ff	0x143dB0x3ff
0x1093V0x3ff	0x109cB0x3ff
0x10b4V0x3ff	0x10f2B0x3ff
0x1110V0x3ff	0x111cB0x3ff
0x1128V0x3ff	0x1131B0x3ff
0x1149V0x3ff	0x1187B0x3ff
0x118fV0x3ff	0x119bB0x3ff
0x11a4V0x3ff	0x13acB0x3ff
0x13b4V0x3ff	0x13c0B0x3ff
0x11c6V0x3ff	0x11cfB0x3ff
0x11ecV0x3ff	0x11f8B0x3ff
0x120bV0x3ff	0x1217B0x3ff
0x1220V0x3ff	0x1229B0x3ff
0x122dV0x3ff	0x1237B0x3ff
0x124eV0x3ff	0x1272B0x3ff
0x127fV0x3ff	0x128bB0x3ff
0x1299V0x3ff	0x12a5B0x3ff
0x12c0V0x3ff	0x12ccB0x3ff
0x12d8V0x3ff	0x12e1B0x3ff
0x1320V0x3ff	0x132cB0x3ff
0x133aV0x3ff	0x1346B0x3ff
0x134fV0x3ff	0x1358B0x3ff
0x135fV0x3ff	0x136bB0x3ff
0x137aV0x3ff	0x1386B0x3ff
0x1392V0x3ff	0x139fB0x3ff
0x13a8V0x3ff	0x1427B0x3ff
0x1430V0x3ff	0x1052B0x3ff
0x140fV0x3ff	0x141bB0x3ff
0x105aV0x3ff	0x1434B0x3ff
