family_id,n,pos,seq_advantage
F00679,1,0,0.15684931506849314
F00136,1,1,0.1566210045662101
F00813,1,0,0.15639269406392695
F00895,1,0,0.15639269406392686
F01224,1,0,0.15593607305936075
F01100,1,0,0.15547945205479452
F00894,1,0,0.15502283105022832
F00844,3,0,0.15365296803652967
F00010,4,4,0.1534246575342465
F00853,1,0,0.15273972602739727
F00805,2,0,0.15205479452054793
F00143,1,1,0.1515981735159817
F00837,2,0,0.1506849315068493
F00175,1,1,0.15045662100456614
F00883,1,0,0.1495433789954338
F00164,1,1,0.14954337899543368
F00051,1,1,0.14931506849315068
F00204,2,2,0.14931506849315068
F00127,3,3,0.14908675799086754
F00880,2,0,0.14885844748858448
F00080,1,1,0.14840182648401823
F01049,2,0,0.14817351598173517
F00197,1,1,0.14748858447488578
F01232,1,0,0.14726027397260275
F00081,2,2,0.14680365296803655
F01280,2,0,0.14657534246575343
F00076,3,3,0.14619482496194827
F00906,1,0,0.14589041095890412
F00950,1,0,0.1454337899543379
F01265,1,0,0.1445205479452055
F01012,1,0,0.14406392694063927
F00180,1,1,0.14337899543378996
F00971,1,0,0.14315068493150684
F01236,1,0,0.14269406392694065
F01045,1,0,0.14223744292237445
F00905,1,0,0.14178082191780822
F01227,2,0,0.14132420091324202
F00936,1,0,0.14132420091324202
F00192,1,1,0.1406392694063927
F00976,3,0,0.1404109589041096
F00158,1,1,0.13995433789954337
F00812,1,0,0.13949771689497717
F00203,1,1,0.13926940639269403
F01121,1,0,0.13812785388127855
F00174,1,1,0.13744292237442923
F00169,1,1,0.13652968036529678
F01099,1,0,0.1363013698630137
F00882,1,0,0.13493150684931507
F00122,2,2,0.1342465753424657
F00124,6,5,0.13219178082191782
F01026,3,0,0.1317351598173516
F00060,2,2,0.1312785388127854
F01223,1,0,0.12899543378995434
F01024,1,0,0.1271689497716895
F01200,1,0,0.1262557077625571
F00693,6,0,0.12617960426179606
F00052,3,3,0.12511415525114156
F01031,2,0,0.12511415525114156
F00750,1,0,0.12442922374429224
F00193,1,1,0.12397260273972599
F00001,19,18,0.12334775294400381
F00989,1,0,0.1226027397260274
F01116,1,0,0.1221461187214612
F00718,1,0,0.12077625570776257
F00082,5,4,0.12059360730593607
F00189,9,9,0.1205479452054794
F00758,1,0,0.12031963470319634
F01324,1,0,0.11986301369863014
F00094,2,2,0.1187214611872146
F00772,3,0,0.11788432267884323
F00867,1,0,0.1175799086757991
F01325,1,0,0.11621004566210047
F00968,2,0,0.11621004566210046
F00023,35,35,0.11368558382257006
F00924,1,0,0.11164383561643837
F01051,1,0,0.10890410958904109
F01187,2,0,0.10776255707762557
F00041,32,12,0.10762699771689498
F01226,2,0,0.10319634703196347
F01248,4,0,0.1
F00816,3,0,0.09954337899543379
F00743,1,0,0.09748858447488584
F00791,1,0,0.09703196347031964
F01002,1,0,0.09657534246575342
F00019,1,1,0.09611872146118716
F00211,1,1,0.09474885844748848
F00092,1,1,0.091324200913242
F01165,5,0,0.09027397260273973
F01243,1,0,0.08972602739726021
F00919,4,0,0.08915525114155251
F01184,1,0,0.08858447488584476
F00148,2,2,0.08675799086757985
F01129,2,0,0.08561643835616438
F00892,1,0,0.08105022831050229
F00006,19,19,0.07899543378995427
F01041,1,0,0.07739726027397262
F01176,3,0,0.07709284627092847
F00977,2,0,0.07397260273972603
F00703,4,0,0.07397260273972603
F01241,1,0,0.07283105022831052
F01321,2,0,0.07146118721461188
F00166,1,1,0.06780821917808222
F00888,2,0,0.06689497716894978
F00845,1,0,0.06689497716894977
F00109,2,2,0.06621004566210048
F00132,4,4,0.06575342465753431
F00994,1,0,0.06552511415525114
F00943,1,0,0.06324200913242009
F00073,1,1,0.06232876712328761
F00090,1,1,0.05890410958904102
F00050,2,2,0.05776255707762562
F00195,1,1,0.057762557077625565
F00213,1,1,0.05684931506849322
F01293,1,0,0.05410958904109589
F00682,1,0,0.05388127853881286
F00077,2,2,0.05365296803652975
F00097,5,5,0.05360730593607306
F00676,1,0,0.053196347031963465
F01018,1,0,0.052739726027397266
F00067,1,1,0.0511415525114155
F00152,3,2,0.05106544901065446
F00188,2,2,0.05091324200913239
F00690,5,0,0.050502283105022874
F00851,1,0,0.050456621004566216
F00191,1,1,0.05022831050228305
F00838,5,0,0.04981735159817352
F00123,1,1,0.04817351598173525
F01065,1,0,0.047945205479452135
F00187,2,2,0.04771689497716897
F00027,1,1,0.04680365296803657
F00923,8,0,0.04623287671232876
F00101,1,1,0.045890410958904115
F00184,4,4,0.04463470319634699
F00215,6,0,0.04383561643835618
F00198,1,1,0.04360730593607298
F00733,16,0,0.04312214611872149
F01088,1,0,0.041780821917808214
F00818,2,0,0.03835616438356165
F00874,2,0,0.0360730593607306
F00752,2,0,0.03561643835616439
F00134,1,1,0.034018264840182666
