task,model,seed,fold,threshold,splitter,split,selected_C,inner_selection_AUPRC
first_stop_primary,first_stop_full_773,7703,2,0.44534891843795776,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7703,3,0.018767880275845528,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7703,4,0.13705593347549438,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7704,0,0.3137638568878174,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7704,1,0.15112341940402985,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7704,2,0.01869075931608677,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7704,3,0.07061346620321274,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7704,4,0.1718902885913849,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7705,0,0.19332072138786316,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7705,1,0.05854833126068115,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7705,2,0.028465861454606056,StratifiedGroupKFold,family,,
